ProductID,Name,ListPrice
749,"Road-150 Red, 62",3578.27
750,"Road-150 Red, 44",3578.27
751,"Road-150 Red, 48",3578.27
752,"Road-150 Red, 52",3578.27
753,"Road-150 Red, 56",3578.27
754,"Road-450 Red, 58",1457.99
755,"Road-450 Red, 60",1457.99
756,"Road-450 Red, 44",1457.99
757,"Road-450 Red, 48",1457.99
758,"Road-450 Red, 52",1457.99
759,"Road-650 Red, 58",782.99
760,"Road-650 Red, 60",782.99
761,"Road-650 Red, 62",782.99
762,"Road-650 Red, 44",782.99
763,"Road-650 Red, 48",782.99
764,"Road-650 Red, 52",782.99
765,"Road-650 Black, 58",782.99
766,"Road-650 Black, 60",782.99
767,"Road-650 Black, 62",782.99
768,"Road-650 Black, 44",782.99
769,"Road-650 Black, 48",782.99
770,"Road-650 Black, 52",782.99
789,"Road-250 Red, 44",2443.35
790,"Road-250 Red, 48",2443.35
791,"Road-250 Red, 52",2443.35
792,"Road-250 Red, 58",2443.35
793,"Road-250 Black, 44",2443.35
794,"Road-250 Black, 48",2443.35
795,"Road-250 Black, 52",2443.35
796,"Road-250 Black, 58",2443.35
797,"Road-550-W Yellow, 38",1120.49
798,"Road-550-W Yellow, 40",1120.49
799,"Road-550-W Yellow, 42",1120.49
800,"Road-550-W Yellow, 44",1120.49
801,"Road-550-W Yellow, 48",1120.49
973,"Road-350-W Yellow, 40",1700.99
974,"Road-350-W Yellow, 42",1700.99
975,"Road-350-W Yellow, 44",1700.99
976,"Road-350-W Yellow, 48",1700.99
977,"Road-750 Black, 58",539.99
997,"Road-750 Black, 44",539.99
998,"Road-750 Black, 48",539.99
999,"Road-750 Black, 52",539.99
