ProductID,Name,ListPrice
680,"HL Road Frame - Black, 58",1431.50
706,"HL Road Frame - Red, 58",1431.50
717,"HL Road Frame - Red, 62",1431.50
718,"HL Road Frame - Red, 44",1431.50
719,"HL Road Frame - Red, 48",1431.50
720,"HL Road Frame - Red, 52",1431.50
721,"HL Road Frame - Red, 56",1431.50
739,"HL Mountain Frame - Silver, 42",1364.50
740,"HL Mountain Frame - Silver, 44",1364.50
741,"HL Mountain Frame - Silver, 48",1364.50
742,"HL Mountain Frame - Silver, 46",1364.50
743,"HL Mountain Frame - Black, 42",1349.60
744,"HL Mountain Frame - Black, 44",1349.60
745,"HL Mountain Frame - Black, 48",1349.60
746,"HL Mountain Frame - Black, 46",1349.60
747,"HL Mountain Frame - Black, 38",1349.60
748,"HL Mountain Frame - Silver, 38",1364.50
749,"Road-150 Red, 62",3578.27
750,"Road-150 Red, 44",3578.27
751,"Road-150 Red, 48",3578.27
752,"Road-150 Red, 52",3578.27
753,"Road-150 Red, 56",3578.27
754,"Road-450 Red, 58",1457.99
755,"Road-450 Red, 60",1457.99
756,"Road-450 Red, 44",1457.99
757,"Road-450 Red, 48",1457.99
758,"Road-450 Red, 52",1457.99
771,"Mountain-100 Silver, 38",3399.99
772,"Mountain-100 Silver, 42",3399.99
773,"Mountain-100 Silver, 44",3399.99
774,"Mountain-100 Silver, 48",3399.99
775,"Mountain-100 Black, 38",3374.99
776,"Mountain-100 Black, 42",3374.99
777,"Mountain-100 Black, 44",3374.99
778,"Mountain-100 Black, 48",3374.99
779,"Mountain-200 Silver, 38",2319.99
780,"Mountain-200 Silver, 42",2319.99
781,"Mountain-200 Silver, 46",2319.99
782,"Mountain-200 Black, 38",2294.99
783,"Mountain-200 Black, 42",2294.99
784,"Mountain-200 Black, 46",2294.99
785,"Mountain-300 Black, 38",1079.99
786,"Mountain-300 Black, 40",1079.99
787,"Mountain-300 Black, 44",1079.99
788,"Mountain-300 Black, 48",1079.99
789,"Road-250 Red, 44",2443.35
790,"Road-250 Red, 48",2443.35
791,"Road-250 Red, 52",2443.35
792,"Road-250 Red, 58",2443.35
793,"Road-250 Black, 44",2443.35
794,"Road-250 Black, 48",2443.35
795,"Road-250 Black, 52",2443.35
796,"Road-250 Black, 58",2443.35
797,"Road-550-W Yellow, 38",1120.49
798,"Road-550-W Yellow, 40",1120.49
799,"Road-550-W Yellow, 42",1120.49
800,"Road-550-W Yellow, 44",1120.49
801,"Road-550-W Yellow, 48",1120.49
837,"HL Road Frame - Black, 62",1431.50
838,"HL Road Frame - Black, 44",1431.50
839,"HL Road Frame - Black, 48",1431.50
840,"HL Road Frame - Black, 52",1431.50
885,"HL Touring Frame - Yellow, 60",1003.91
887,"HL Touring Frame - Yellow, 46",1003.91
888,"HL Touring Frame - Yellow, 50",1003.91
889,"HL Touring Frame - Yellow, 54",1003.91
890,"HL Touring Frame - Blue, 46",1003.91
891,"HL Touring Frame - Blue, 50",1003.91
892,"HL Touring Frame - Blue, 54",1003.91
893,"HL Touring Frame - Blue, 60",1003.91
953,"Touring-2000 Blue, 60",1214.85
954,"Touring-1000 Yellow, 46",2384.07
955,"Touring-1000 Yellow, 50",2384.07
956,"Touring-1000 Yellow, 54",2384.07
957,"Touring-1000 Yellow, 60",2384.07
966,"Touring-1000 Blue, 46",2384.07
967,"Touring-1000 Blue, 50",2384.07
968,"Touring-1000 Blue, 54",2384.07
969,"Touring-1000 Blue, 60",2384.07
970,"Touring-2000 Blue, 46",1214.85
971,"Touring-2000 Blue, 50",1214.85
972,"Touring-2000 Blue, 54",1214.85
973,"Road-350-W Yellow, 40",1700.99
974,"Road-350-W Yellow, 42",1700.99
975,"Road-350-W Yellow, 44",1700.99
976,"Road-350-W Yellow, 48",1700.99
