OrderDate,SalesOrderNumber,ProductName,OrderQty,UnitPrice,LineTotal
2008-06-01 00:00:00.000,SO71774,"ML Road Frame-W - Yellow, 48",1,356.898,356.898000
2008-06-01 00:00:00.000,SO71774,"ML Road Frame-W - Yellow, 38",1,356.898,356.898000
2008-06-01 00:00:00.000,SO71776,Rear Brakes,1,63.90,63.900000
2008-06-01 00:00:00.000,SO71780,"ML Mountain Frame-W - Silver, 42",4,218.454,873.816000
2008-06-01 00:00:00.000,SO71780,"Mountain-400-W Silver, 46",2,461.694,923.388000
2008-06-01 00:00:00.000,SO71780,"Mountain-500 Silver, 52",6,112.998,406.792800
2008-06-01 00:00:00.000,SO71780,"HL Mountain Frame - Silver, 38",2,818.70,1637.400000
2008-06-01 00:00:00.000,SO71780,"Mountain-500 Black, 42",1,323.994,323.994000
2008-06-01 00:00:00.000,SO71780,"LL Mountain Frame - Black, 48",1,149.874,149.874000
2008-06-01 00:00:00.000,SO71780,"HL Mountain Frame - Black, 42",1,809.76,809.760000
2008-06-01 00:00:00.000,SO71780,"Mountain-200 Black, 38",4,1376.994,5507.976000
2008-06-01 00:00:00.000,SO71780,"LL Mountain Frame - Silver, 44",2,158.43,316.860000
2008-06-01 00:00:00.000,SO71780,"Mountain-200 Silver, 42",4,1391.994,5567.976000
2008-06-01 00:00:00.000,SO71780,HL Mountain Pedal,1,48.594,48.594000
2008-06-01 00:00:00.000,SO71780,"Women's Mountain Shorts, S",6,41.994,251.964000
2008-06-01 00:00:00.000,SO71780,"Mountain-500 Silver, 42",1,112.998,67.798800
2008-06-01 00:00:00.000,SO71780,"Mountain-500 Black, 40",2,323.994,647.988000
2008-06-01 00:00:00.000,SO71780,"Mountain-500 Black, 44",3,323.994,971.982000
2008-06-01 00:00:00.000,SO71780,"Mountain-500 Black, 48",1,323.994,323.994000
2008-06-01 00:00:00.000,SO71780,"Mountain-500 Black, 52",2,323.994,647.988000
2008-06-01 00:00:00.000,SO71780,"Mountain-500 Silver, 40",2,112.998,135.597600
2008-06-01 00:00:00.000,SO71780,"Mountain-500 Silver, 44",3,112.998,203.396400
2008-06-01 00:00:00.000,SO71780,"Mountain-500 Silver, 48",3,112.998,203.396400
2008-06-01 00:00:00.000,SO71780,"Mountain-400-W Silver, 40",2,461.694,923.388000
2008-06-01 00:00:00.000,SO71780,"Mountain-400-W Silver, 42",3,461.694,1385.082000
2008-06-01 00:00:00.000,SO71780,"Mountain-200 Black, 42",5,1376.994,6884.970000
2008-06-01 00:00:00.000,SO71780,ML Mountain Handlebars,3,37.152,111.456000
2008-06-01 00:00:00.000,SO71780,HL Mountain Handlebars,1,72.162,72.162000
2008-06-01 00:00:00.000,SO71780,LL Mountain Pedal,2,24.294,48.588000
2008-06-01 00:00:00.000,SO71780,"LL Mountain Frame - Black, 44",1,149.874,149.874000
2008-06-01 00:00:00.000,SO71780,"Women's Mountain Shorts, L",7,41.994,293.958000
2008-06-01 00:00:00.000,SO71780,Hydration Pack - 70 oz.,1,32.994,32.994000
2008-06-01 00:00:00.000,SO71782,"Long-Sleeve Logo Jersey, M",3,29.994,89.982000
2008-06-01 00:00:00.000,SO71782,"Touring-1000 Yellow, 54",3,1430.442,4291.326000
2008-06-01 00:00:00.000,SO71782,"Touring-1000 Yellow, 46",1,1430.442,1430.442000
2008-06-01 00:00:00.000,SO71782,AWC Logo Cap,10,5.394,53.940000
2008-06-01 00:00:00.000,SO71782,Bike Wash - Dissolver,10,4.77,47.700000
2008-06-01 00:00:00.000,SO71782,HL Bottom Bracket,4,72.894,291.576000
2008-06-01 00:00:00.000,SO71782,"Classic Vest, S",6,38.10,228.600000
2008-06-01 00:00:00.000,SO71782,Hitch Rack - 4-Bike,3,72.00,216.000000
2008-06-01 00:00:00.000,SO71782,"Touring-3000 Blue, 58",4,445.41,1781.640000
2008-06-01 00:00:00.000,SO71782,"Touring-2000 Blue, 50",4,728.91,2915.640000
2008-06-01 00:00:00.000,SO71782,Water Bottle - 30 oz.,6,2.994,17.964000
2008-06-01 00:00:00.000,SO71782,"Touring-3000 Blue, 44",1,445.41,445.410000
2008-06-01 00:00:00.000,SO71782,"Touring-1000 Yellow, 50",1,1430.442,1430.442000
2008-06-01 00:00:00.000,SO71782,Front Brakes,1,63.90,63.900000
2008-06-01 00:00:00.000,SO71782,LL Bottom Bracket,1,32.394,32.394000
2008-06-01 00:00:00.000,SO71782,"Touring-2000 Blue, 46",1,728.91,728.910000
2008-06-01 00:00:00.000,SO71782,"Touring-1000 Blue, 46",2,1430.442,2860.884000
2008-06-01 00:00:00.000,SO71782,"Short-Sleeve Classic Jersey, XL",4,32.394,129.576000
2008-06-01 00:00:00.000,SO71782,"HL Touring Frame - Yellow, 60",2,602.346,1204.692000
2008-06-01 00:00:00.000,SO71782,"Long-Sleeve Logo Jersey, L",8,29.994,239.952000
2008-06-01 00:00:00.000,SO71782,Rear Derailleur,3,72.876,218.628000
2008-06-01 00:00:00.000,SO71782,"Touring-1000 Yellow, 60",1,1430.442,1430.442000
2008-06-01 00:00:00.000,SO71782,"Touring-1000 Blue, 50",2,1430.442,2860.884000
2008-06-01 00:00:00.000,SO71782,"Sport-100 Helmet, Black",7,20.994,146.958000
2008-06-01 00:00:00.000,SO71782,"Touring-3000 Yellow, 44",3,445.41,1336.230000
2008-06-01 00:00:00.000,SO71782,"Touring-3000 Blue, 50",2,445.41,890.820000
2008-06-01 00:00:00.000,SO71782,"Touring-3000 Blue, 54",2,445.41,890.820000
2008-06-01 00:00:00.000,SO71782,"Touring-3000 Yellow, 54",1,445.41,445.410000
2008-06-01 00:00:00.000,SO71782,"Touring-2000 Blue, 60",1,728.91,728.910000
2008-06-01 00:00:00.000,SO71782,"Touring-1000 Blue, 54",2,1430.442,2860.884000
2008-06-01 00:00:00.000,SO71782,HL Crankset,2,242.994,485.988000
2008-06-01 00:00:00.000,SO71782,Front Derailleur,2,54.894,109.788000
2008-06-01 00:00:00.000,SO71782,HL Touring Seat/Saddle,1,31.584,31.584000
2008-06-01 00:00:00.000,SO71782,"LL Touring Frame - Yellow, 62",1,200.052,200.052000
2008-06-01 00:00:00.000,SO71782,"HL Touring Frame - Blue, 54",1,602.346,602.346000
2008-06-01 00:00:00.000,SO71782,"HL Touring Frame - Blue, 60",1,602.346,602.346000
2008-06-01 00:00:00.000,SO71782,"Short-Sleeve Classic Jersey, S",6,32.394,194.364000
2008-06-01 00:00:00.000,SO71782,"Short-Sleeve Classic Jersey, L",4,32.394,129.576000
2008-06-01 00:00:00.000,SO71782,"Half-Finger Gloves, M",1,14.694,14.694000
2008-06-01 00:00:00.000,SO71782,"Classic Vest, M",4,38.10,152.400000
2008-06-01 00:00:00.000,SO71782,Hydration Pack - 70 oz.,9,32.994,296.946000
2008-06-01 00:00:00.000,SO71782,"Sport-100 Helmet, Blue",6,20.994,125.964000
2008-06-01 00:00:00.000,SO71782,"Sport-100 Helmet, Red",3,20.994,62.982000
2008-06-01 00:00:00.000,SO71783,"LL Road Frame - Black, 52",4,202.332,809.328000
2008-06-01 00:00:00.000,SO71783,ML Road Pedal,6,37.254,223.524000
2008-06-01 00:00:00.000,SO71783,"Road-250 Black, 44",3,1466.01,4398.030000
2008-06-01 00:00:00.000,SO71783,"Road-750 Black, 58",4,323.994,1295.976000
2008-06-01 00:00:00.000,SO71783,Hydration Pack - 70 oz.,9,32.994,296.946000
2008-06-01 00:00:00.000,SO71783,"Half-Finger Gloves, M",7,14.694,102.858000
