CustomerID,CompanyName,Category,Quantity
29485,Professional Sales and Service,Bike Racks,3
29485,Professional Sales and Service,Bottles and Cages,6
29485,Professional Sales and Service,Bottom Brackets,5
29485,Professional Sales and Service,Brakes,1
29485,Professional Sales and Service,Caps,10
29485,Professional Sales and Service,Cleaners,10
29485,Professional Sales and Service,Saddles,1
29485,Professional Sales and Service,Touring Bikes,31
29485,Professional Sales and Service,Touring Frames,5
29485,Professional Sales and Service,Vests,10
29485,Professional Sales and Service,Cranksets,2
29485,Professional Sales and Service,Derailleurs,5
29485,Professional Sales and Service,Gloves,1
29485,Professional Sales and Service,Helmets,16
29485,Professional Sales and Service,Hydration Packs,9
29485,Professional Sales and Service,Jerseys,25
29531,Remarkable Bike Store,Pedals,1
29531,Remarkable Bike Store,Road Bikes,6
29531,Remarkable Bike Store,Socks,16
29546,Bulk Discount Store,Bike Racks,3
29546,Bulk Discount Store,Bottles and Cages,8
29546,Bulk Discount Store,Caps,1
29546,Bulk Discount Store,Cleaners,6
29546,Bulk Discount Store,Gloves,2
29546,Bulk Discount Store,Handlebars,1
29546,Bulk Discount Store,Socks,6
29546,Bulk Discount Store,Vests,9
29546,Bulk Discount Store,Helmets,11
29546,Bulk Discount Store,Hydration Packs,7
29546,Bulk Discount Store,Jerseys,14
29546,Bulk Discount Store,Pedals,16
29546,Bulk Discount Store,Road Bikes,78
29546,Bulk Discount Store,Road Frames,5
29568,Coalition Bike Company,Handlebars,1
29568,Coalition Bike Company,Jerseys,4
29568,Coalition Bike Company,Mountain Bikes,2
29568,Coalition Bike Company,Mountain Frames,3
29568,Coalition Bike Company,Pedals,1
29584,Futuristic Bikes,Jerseys,2
29584,Futuristic Bikes,Saddles,2
29584,Futuristic Bikes,Vests,3
29612,Channel Outlet,Bike Racks,3
29612,Channel Outlet,Jerseys,6
29612,Channel Outlet,Vests,3
29638,Aerobic Exercise Company,Pedals,8
29638,Aerobic Exercise Company,Road Frames,5
29644,Vigorous Sports Store,Road Frames,1
29653,Thrilling Bike Tours,Brakes,2
29653,Thrilling Bike Tours,Caps,3
29653,Thrilling Bike Tours,Chains,1
29653,Thrilling Bike Tours,Cleaners,1
29653,Thrilling Bike Tours,Derailleurs,1
29653,Thrilling Bike Tours,Jerseys,4
29653,Thrilling Bike Tours,Touring Bikes,15
29660,Extreme Riding Supplies,Handlebars,1
29660,Extreme Riding Supplies,Saddles,1
29660,Extreme Riding Supplies,Touring Bikes,46
29660,Extreme Riding Supplies,Touring Frames,12
29736,Action Bicycle Specialists,Bike Racks,6
29736,Action Bicycle Specialists,Bottles and Cages,11
29736,Action Bicycle Specialists,Caps,10
29736,Action Bicycle Specialists,Cleaners,8
29736,Action Bicycle Specialists,Gloves,11
29736,Action Bicycle Specialists,Helmets,24
