Name,ListPrice
"Road-150 Red, 62",3578.27
"Road-150 Red, 44",3578.27
"Road-150 Red, 48",3578.27
"Road-150 Red, 52",3578.27
"Road-150 Red, 56",3578.27
"Mountain-100 Silver, 38",3399.99
"Mountain-100 Silver, 42",3399.99
"Mountain-100 Silver, 44",3399.99
"Mountain-100 Silver, 48",3399.99
"Mountain-100 Black, 38",3374.99
"Mountain-100 Black, 42",3374.99
"Mountain-100 Black, 44",3374.99
"Mountain-100 Black, 48",3374.99
"Road-250 Red, 44",2443.35
"Road-250 Red, 48",2443.35
"Road-250 Red, 52",2443.35
"Road-250 Red, 58",2443.35
"Road-250 Black, 44",2443.35
"Road-250 Black, 48",2443.35
"Road-250 Black, 52",2443.35
"Road-250 Black, 58",2443.35
